# sizemeup-build 2024.10.11
name	tax_id	category	size	source	method
Aspergillus tamarii	41984	eukaryota,fungi	38282964	ncbi	automatic
Agromyces mediolanus	41986	bacteria	3900796	ncbi	automatic
Enterococcus saccharolyticus	41997	bacteria	2622550	ncbi	automatic
Drosophila bipectinata	42026	eukaryota	181970935	ncbi	automatic
Drosophila nasuta	42062	eukaryota	145156551	ncbi	automatic
Actinosynnema pretiosum	42197	bacteria	8131572	ncbi	automatic
Prunus avium	42229	eukaryota	246800503	ncbi	automatic
Streptomyces acidiscabies	42234	bacteria	10917097	ncbi	automatic
Streptomyces bottropensis	42235	bacteria	9705655	ncbi	automatic
Streptomyces diastatochromogenes	42236	bacteria	9447002	ncbi	automatic
Streptomyces eurythermus	42237	bacteria	8990920	ncbi	automatic
Streptomyces neyagawaensis	42238	bacteria	9727248	ncbi	automatic
Zygosaccharomyces mellis	42258	eukaryota,fungi	9579788	ncbi	automatic
Eubacterium ruminantium	42322	bacteria	2877062	ncbi	automatic
Nitrosomonas oligotropha	42354	bacteria	3330830	ncbi	automatic
Ophiostoma novo-ulmi	42373	eukaryota,fungi	31639825	ncbi	automatic
Candida dubliniensis	42374	eukaryota,fungi	14146647	ncbi	automatic
Lichtheimia corymbifera	42458	eukaryota,fungi	35406463	ncbi	automatic
Fusarium nygamai	42673	eukaryota,fungi	49329855	ncbi	automatic
Fusarium subglutinans	42677	eukaryota,fungi	44055067	ncbi	automatic
Streptomyces collinus	42684	bacteria	8861116	ncbi	automatic
Corynebacterium argentoratense	42817	bacteria	2017867	ncbi	automatic
Mammaliicoccus lentus	42858	bacteria	2747234	ncbi	automatic
Serratia entomophila	42906	bacteria	5034097	ncbi	automatic
Tilletia indica	43049	eukaryota,fungi	31831680	ncbi	automatic
Cereibacter azotoformans	43057	bacteria	4414402	ncbi	automatic
Sulfolobus islandicus	43080	archaea	2645252	ncbi	automatic
Tissierella praeacuta	43131	bacteria	3142790	ncbi	automatic
Aquipseudomonas alcaligenes	43263	bacteria	4541729	ncbi	automatic
Cordyceps javanica	43265	eukaryota,fungi	34454810	ncbi	automatic
Mycolicibacterium peregrinum	43304	bacteria	6795181	ncbi	automatic
Butyrivibrio proteoclasticus	43305	bacteria	4045793	ncbi	automatic
Mycobacterium branderi	43348	bacteria	5911893	ncbi	automatic
Halanaerobium saccharolyticum	43595	bacteria	3310975	ncbi	automatic
Pseudoalteromonas aurantia	43654	bacteria	4839946	ncbi	automatic
Pseudoalteromonas luteoviolacea	43657	bacteria	6068543	ncbi	automatic
Pseudoalteromonas rubra	43658	bacteria	5737860	ncbi	automatic
Pseudoalteromonas tetraodonis	43659	bacteria	4056660	ncbi	automatic
Pseudoalteromonas undina	43660	bacteria	4132748	ncbi	automatic
Shewanella benthica	43661	bacteria	4352547	ncbi	automatic
Pseudoalteromonas piscicida	43662	bacteria	5380608	ncbi	automatic
Paenarthrobacter aurescens	43663	bacteria	4349668	ncbi	automatic
Paenarthrobacter ilicis	43665	bacteria	4031456	ncbi	automatic
Paeniglutamicibacter sulfureus	43666	bacteria	4557810	ncbi	automatic
Cellulomonas cellasea	43670	bacteria	4324316	ncbi	automatic
Jonesia denitrificans	43674	bacteria	2749646	ncbi	automatic
Rothia mucilaginosa	43675	bacteria	2276316	ncbi	automatic
Metallosphaera sedula	43687	archaea	2191529	ncbi	automatic
Streptomyces wedmorensis	43759	bacteria	9278324	ncbi	automatic
Redspotted grouper nervous necrosis virus	43763	virus	4536	ncbi	automatic
Corynebacterium amycolatum	43765	bacteria	2502160	ncbi	automatic
Prescottella equi	43767	bacteria	5415248	ncbi	automatic
Corynebacterium matruchotii	43768	bacteria	2861264	ncbi	automatic
Corynebacterium propinquum	43769	bacteria	2512839	ncbi	automatic
Corynebacterium striatum	43770	bacteria	2750000	ncbi	manually-set
Corynebacterium urealyticum	43771	bacteria	2367449	ncbi	automatic
Rhodococcus zopfii	43772	bacteria	5832175	ncbi	automatic
Haloarcula argentinensis	43776	archaea	4033804	ncbi	automatic
Saccharomycopsis crataegensis	43959	eukaryota,fungi	15295765	ncbi	automatic
Ambrosiozyma monospora	43982	eukaryota,fungi	26759131	ncbi	automatic
Bradyrhizobium liaoningense	43992	bacteria	8264038	ncbi	automatic
Enterococcus pseudoavium	44007	bacteria	2758863	ncbi	automatic
Enterococcus cecorum	44008	bacteria	2332521	ncbi	automatic
Enterococcus dispar	44009	bacteria	2787210	ncbi	automatic
Ferrimonas balearica	44012	bacteria	4273401	ncbi	automatic
Aureococcus anophagefferens	44056	eukaryota	57108930	ncbi	automatic
Saccharomycopsis schoenii	44080	eukaryota,fungi	13683329	ncbi	automatic
Canarypox virus	44088	virus	355480	ncbi	automatic
Saccharomycopsis malanga	44092	eukaryota,fungi	16703753	ncbi	automatic
Paenibacillus alvei	44250	bacteria	6673436	ncbi	automatic
Paenibacillus macerans	44252	bacteria	7121699	ncbi	automatic
Paenibacillus validus	44253	bacteria	5495185	ncbi	automatic
Leishmania chagasi	44271	eukaryota	31902111	ncbi	automatic
Haemaphysalis longicornis	44386	eukaryota	2837320922	ncbi	automatic
Melospiza melodia	44397	eukaryota	1356272388	ncbi	automatic
Borrelia recurrentis	44449	bacteria	1284120	ncbi	automatic
Ageratum yellow vein virus	44560	virus	2747	ncbi	automatic
Nitrosomonas communis	44574	bacteria	3957803	ncbi	automatic
Nitrosomonas ureae	44577	bacteria	3255798	ncbi	automatic
Verpa bohemica	44609	eukaryota,fungi	44503127	ncbi	automatic
Rhodococcus wratislaviensis	44752	bacteria	9531979	ncbi	automatic
Natronobacterium gregoryi	44930	archaea	3709389	ncbi	automatic
Vreelandella venusta	44935	bacteria	4307261	ncbi	automatic
Legionella geestiana	45065	bacteria	2646406	ncbi	automatic
Legionella lansingensis	45067	bacteria	2909762	ncbi	automatic
Legionella parisiensis	45071	bacteria	4185834	ncbi	automatic
Legionella quinlivanii	45073	bacteria	3614726	ncbi	automatic
Bipolaris sorokiniana	45130	eukaryota,fungi	36361256	ncbi	automatic
Lasiodiplodia theobromae	45133	eukaryota,fungi	43582710	ncbi	automatic
Pyrenophora tritici-repentis	45151	eukaryota,fungi	34547285	ncbi	automatic
Cyanidioschyzon merolae	45157	eukaryota	16240949	ncbi	automatic
Sungouiella intermedia	45354	eukaryota,fungi	13040777	ncbi	automatic
Candidozyma haemuli	45357	eukaryota,fungi	13268395	ncbi	automatic
Streptomyces griseoviridis	45398	bacteria	8898663	ncbi	automatic
Brevibacillus borstelensis	45462	bacteria	5338604	ncbi	automatic
Vogesella indigofera	45465	bacteria	3532916	ncbi	automatic
Helicobacter cholecystus	45498	bacteria	1371478	ncbi	automatic
[Candida] aaseri	45518	eukaryota,fungi	10447450	ncbi	automatic
Wickerhamiella sorbophila	45607	eukaryota,fungi	7942386	ncbi	automatic
Psychrobacter urativorans	45610	bacteria	3194851	ncbi	automatic
Streptococcus cristatus	45634	bacteria	2041836	ncbi	automatic
Vibrio scophthalmi	45658	bacteria	4828569	ncbi	automatic
Halobacillus litoralis	45668	bacteria	3946926	ncbi	automatic
Salinicoccus roseus	45670	bacteria	2541136	ncbi	automatic
Wickerhamiella domercqiae	45788	eukaryota,fungi	8390778	ncbi	automatic
Staphylococcus pasteuri	45972	bacteria	2540714	ncbi	automatic
Granulicatella adiacens	46124	bacteria	1891969	ncbi	automatic
Abiotrophia defectiva	46125	bacteria	2043490	ncbi	automatic
Staphylococcus chromogenes	46126	bacteria	2325518	ncbi	automatic
Staphylococcus felis	46127	bacteria	2396147	ncbi	automatic
Nonomuraea angiospora	46172	bacteria	13338457	ncbi	automatic
Nonomuraea ferruginea	46174	bacteria	9308761	ncbi	automatic
Nonomuraea pusilla	46177	bacteria	8960270	ncbi	automatic
Nonomuraea rubra	46180	bacteria	12831595	ncbi	automatic
Pseudobutyrivibrio ruminis	46206	bacteria	2932765	ncbi	automatic
Heyndrickxia sporothermodurans	46224	bacteria	3782826	ncbi	automatic
[Ruminococcus] lactaris	46228	bacteria	2907948	ncbi	automatic
Paenibacillus apiarius	46240	bacteria	6391559	ncbi	automatic
Weissella hellenica	46256	bacteria	1815419	ncbi	automatic
Pseudomonas avellanae	46257	bacteria	5980240	ncbi	automatic
Mycolicibacterium hassiacum	46351	bacteria	5089437	ncbi	automatic
Parabacteroides merdae	46503	bacteria	4635705	ncbi	automatic
Bacteroides stercoris	46506	bacteria	3974067	ncbi	automatic
Thermosipho melanesiensis	46541	bacteria	1890427	ncbi	automatic
Pseudosimochromis marginatus	46578	eukaryota	694279901	ncbi	automatic
Aureobasidium melanogenum	46634	eukaryota,fungi	46945833	ncbi	automatic
Pseudomonas agarici	46677	bacteria	5493167	ncbi	automatic
Pseudomonas caricapapayae	46678	bacteria	6268579	ncbi	automatic
Pseudomonas mucidolens	46679	bacteria	5815566	ncbi	automatic
Pseudomonas nitroreducens	46680	bacteria	6600451	ncbi	automatic
Fasciola gigantica	46835	eukaryota	850778401	ncbi	automatic
Clostridium chauvoei	46867	bacteria	2788421	ncbi	automatic
Dactylellina cionopaga	47266	eukaryota,fungi	44886820	ncbi	automatic
Trichothecium roseum	47278	eukaryota,fungi	33510174	ncbi	automatic
Tsukamurella pulmonis	47312	bacteria	4702281	ncbi	automatic
Drosophila novamexicana	47314	eukaryota	175428564	ncbi	automatic
Drosophila auraria	47315	eukaryota	158790472	ncbi	automatic
Armillaria gallica	47427	eukaryota,fungi	86027854	ncbi	automatic
Borrelia miyamotoi	47466	bacteria	1329015	ncbi	automatic
Limosilactobacillus panis	47493	bacteria	2044518	ncbi	automatic
Aneurinibacillus migulanus	47500	bacteria	6249062	ncbi	automatic
Lautropia mirabilis	47671	bacteria	3149613	ncbi	automatic
Bacteroides caccae	47678	bacteria	5345366	ncbi	automatic
Lacticaseibacillus rhamnosus	47715	bacteria	2944726	ncbi	automatic
Streptomyces olivaceus	47716	bacteria	8321699	ncbi	automatic
Bibersteinia trehalosi	47735	bacteria	2374039	ncbi	automatic
Streptomyces tubercidicus	47759	bacteria	8501612	ncbi	automatic
Streptomyces aurantiacus	47760	bacteria	9395654	ncbi	automatic
Streptomyces lydicus	47763	bacteria	8309213	ncbi	automatic
Lactobacillus crispatus	47770	bacteria	2143255	ncbi	automatic
Brachybacterium alimentarium	47845	bacteria	4024885	ncbi	automatic
Brachybacterium conglomeratum	47846	bacteria	3801341	ncbi	automatic
Micromonospora aurantiaca	47850	bacteria	7025559	ncbi	automatic
Micromonospora carbonacea	47853	bacteria	7528335	ncbi	automatic
Micromonospora chersina	47854	bacteria	6962770	ncbi	automatic
Micromonospora echinofusca	47858	bacteria	6926569	ncbi	automatic
Micromonospora peucetia	47871	bacteria	7187707	ncbi	automatic
Micromonospora purpureochromogenes	47872	bacteria	6442200	ncbi	automatic
Pseudomonas amygdali	47877	bacteria	6175408	ncbi	automatic
Pseudomonas azotoformans	47878	bacteria	6704783	ncbi	automatic
Pseudomonas corrugata	47879	bacteria	6227375	ncbi	automatic
Pseudomonas fulva	47880	bacteria	5220088	ncbi	automatic
Pseudomonas synxantha	47883	bacteria	6626181	ncbi	automatic
Pseudomonas taetrolens	47884	bacteria	4921904	ncbi	automatic
Pseudomonas oryzihabitans	47885	bacteria	5092972	ncbi	automatic
Pseudomonas luteola	47886	bacteria	5406727	ncbi	automatic
Diplodinium dentatum	47889	eukaryota	98169644	ncbi	automatic
Polyplastron multivesiculatum	47894	eukaryota	96928511	ncbi	automatic
Serratia fonticola	47917	bacteria	5200000	ncbi	manually-set
Acidovorax delafieldii	47920	bacteria	4939179	ncbi	automatic
Vibrio cyclitrophicus	47951	bacteria	5007973	ncbi	automatic
Methylorubrum thiocyanatum	47958	bacteria	5465158	ncbi	automatic
Mycoplasmopsis pullorum	48003	bacteria	953288	ncbi	automatic
Acinetobacter pittii	48296	bacteria	3950000	ncbi	manually-set
Perilla frutescens	48386	eukaryota	955562290	ncbi	automatic
Gulo gulo	48420	eukaryota	2312673609	ncbi	automatic
Fusarium annulatum	48484	eukaryota,fungi	45004310	ncbi	automatic
Fusarium circinatum	48490	eukaryota,fungi	45152588	ncbi	automatic
Xanthomonas fragariae	48664	bacteria	4125451	ncbi	automatic
Rutilus rutilus	48668	eukaryota	982151548	ncbi	automatic
Fusarium redolens	48865	eukaryota,fungi	50971140	ncbi	automatic
Poecile atricapillus	48891	eukaryota	1016259318	ncbi	automatic
Sporisorium scitamineum	49012	eukaryota,fungi	19723537	ncbi	automatic
Salvia hispanica	49212	eukaryota	336341353	ncbi	automatic
Paenibacillus thiaminolyticus	49283	bacteria	6509283	ncbi	automatic
Wickerhamiella pararugosa	49331	eukaryota,fungi	9126406	ncbi	automatic
Desulfitobacterium hafniense	49338	bacteria	5322023	ncbi	automatic
Mycolicibacterium hodleri	49897	bacteria	6456769	ncbi	automatic
Solanum pinnatisectum	50273	eukaryota	536316228	ncbi	automatic
Rhizobium sullae	50338	bacteria	7530775	ncbi	automatic
Pseudomonas fuscovaginae	50340	bacteria	6541075	ncbi	automatic
Vibrio diabolicus	50719	bacteria	5150000	ncbi	manually-set
Helicobacter trogontum	50960	bacteria	2442491	ncbi	automatic
Heterodera glycines	51029	eukaryota	140269496	ncbi	automatic
Brevibacillus agri	51101	bacteria	5478422	ncbi	automatic
Ureibacillus thermosphaericus	51173	bacteria	3009299	ncbi	automatic
Streptomyces griseocarneus	51201	bacteria	7382098	ncbi	automatic
Methanohalophilus euhalobius	51203	archaea	1906118	ncbi	automatic
Juglans regia	51240	eukaryota	543185520	ncbi	automatic
Kluyvera ascorbata	51288	bacteria	5350000	ncbi	manually-set
Castor canadensis	51338	eukaryota	2639439459	ncbi	automatic
Trichoderma reesei	51453	eukaryota,fungi	34434741	ncbi	automatic
Spraguea lophii	51541	eukaryota,fungi	7652667	ncbi	automatic
Haloarcula hispanica	51589	archaea	3890349	ncbi	automatic
Naegleria lovaniensis	51637	eukaryota	27627491	ncbi	automatic
Willaertia magna	51641	eukaryota	30018573	ncbi	automatic
Plutella xylostella	51655	eukaryota	330364023	ncbi	automatic
Pediococcus damnosus	51663	bacteria	2201258	ncbi	automatic
Aerococcus urinaeequi	51665	bacteria	2031130	ncbi	automatic
Tetragenococcus halophilus	51669	bacteria	2401046	ncbi	automatic
Maudiozyma humilis	51915	eukaryota,fungi	14826424	ncbi	automatic
[Candida] sonorensis	51926	eukaryota,fungi	13386647	ncbi	automatic
Billgrantia desiderata	52021	bacteria	4861048	ncbi	automatic
Acinetobacter venetianus	52133	bacteria	3499788	ncbi	automatic
Mitsuokella multacida	52226	bacteria	2453216	ncbi	automatic
Lactobacillus gallinarum	52242	bacteria	1951720	ncbi	automatic
Pichia inconspicua	52247	eukaryota,fungi	14828456	ncbi	automatic
Brachyspira pilosicoli	52584	bacteria	2592740	ncbi	automatic
Erysiphe necator	52586	eukaryota,fungi	50127843	ncbi	automatic
Acetobacterium bakii	52689	bacteria	4240365	ncbi	automatic
Acetobacterium wieringae	52694	bacteria	3819576	ncbi	automatic
Aeromicrobium fastidiosum	52699	bacteria	3919570	ncbi	automatic
Actinomyces denticolens	52767	bacteria	2855055	ncbi	automatic
Schaalia meyeri	52773	bacteria	2041062	ncbi	automatic
Scophthalmus maximus	52904	eukaryota	541508849	ncbi	automatic
Papaya leaf curl virus	53260	virus	2746	ncbi	automatic
Sphingomonas trueperi	53317	bacteria	4649425	ncbi	automatic
Staphylococcus delphini	53344	bacteria	2631166	ncbi	automatic
Enterococcus durans	53345	bacteria	3032444	ncbi	automatic
Enterococcus mundtii	53346	bacteria	3245546	ncbi	automatic
Dactylosporangium matsuzakiense	53360	bacteria	10638796	ncbi	automatic
Corynebacterium coyleae	53374	bacteria	2453155	ncbi	automatic
Pseudomonas anguilliseptica	53406	bacteria	4940620	ncbi	automatic
Pseudomonas citronellolis	53408	bacteria	7133205	ncbi	automatic
Pseudomonas coronafaciens	53409	bacteria	5669554	ncbi	automatic
Pseudomonas ficuserectae	53410	bacteria	5814854	ncbi	automatic
Pseudomonas resinovorans	53412	bacteria	6475000	ncbi	manually-set
Xanthomonas axonopodis	53413	bacteria	5035332	ncbi	automatic
Lonepinella koalarum	53417	bacteria	2554443	ncbi	automatic
Treponema socranskii	53419	bacteria	2805741	ncbi	automatic
Nocardia flavorosea	53429	bacteria	7385443	ncbi	automatic
Nocardia salmonicida	53431	bacteria	7586332	ncbi	automatic
Nocardiopsis alba	53437	bacteria	5914605	ncbi	automatic
Eubacterium callanderi	53442	bacteria	4516763	ncbi	automatic
Blautia hydrogenotrophica	53443	bacteria	3565428	ncbi	automatic
Fructilactobacillus lindneri	53444	bacteria	1423897	ncbi	automatic
Streptomyces cinnamoneus	53446	bacteria	7082704	ncbi	automatic
Mycolicibacterium mageritense	53462	bacteria	8006721	ncbi	automatic
Pyrenophora teres	53485	eukaryota,fungi	43903379	ncbi	automatic
Pichia fermentans	53655	eukaryota,fungi	15023121	ncbi	automatic
Rhodococcoides corynebacterioides	53972	bacteria	4022434	ncbi	automatic
Phytophthora fragariae	53985	eukaryota	78784409	ncbi	automatic
Peptoniphilus harei	54005	bacteria	1962526	ncbi	automatic
Pediococcus parvulus	54062	bacteria	2067987	ncbi	automatic
Lipomyces tetrasporus	54092	eukaryota,fungi	20462964	ncbi	automatic
Halanaerobium congolense	54121	bacteria	2830667	ncbi	automatic
Pristionchus pacificus	54126	eukaryota	148299775	ncbi	automatic
Vicia cryptic virus	54289	virus	3683	ncbi	automatic
Raoultella ornithinolytica	54291	bacteria	5850000	ncbi	manually-set
Limnospira fusiformis	54297	bacteria	5837480	ncbi	automatic
Pichia terricola	54551	eukaryota,fungi	12282450	ncbi	automatic
Pichia occidentalis	54552	eukaryota,fungi	11806921	ncbi	automatic
Streptomyces venezuelae	54571	bacteria	8191480	ncbi	automatic
Salmonella bongori	54736	bacteria	5050000	ncbi	manually-set
Brevibacillus centrosporus	54910	bacteria	6080469	ncbi	automatic
Brevibacillus choshinensis	54911	bacteria	6244934	ncbi	automatic
Brevibacillus formosus	54913	bacteria	6223600	ncbi	automatic
Brevibacillus parabrevis	54914	bacteria	6049969	ncbi	automatic
Brevibacillus reuszeri	54915	bacteria	6915926	ncbi	automatic
Botryosphaeria dothidea	55169	eukaryota,fungi	46328675	ncbi	automatic
Phyllosticta citricarpa	55181	eukaryota,fungi	31767877	ncbi	automatic
Citrus unshiu	55188	eukaryota	339963552	ncbi	automatic
Malassezia furfur	55194	eukaryota,fungi	8475421	ncbi	automatic
Flavobacterium branchiophilum	55197	bacteria	3575459	ncbi	automatic
Pectobacterium wasabiae	55208	bacteria	5026926	ncbi	automatic
Pantoea cypripedii	55209	bacteria	6498442	ncbi	automatic
Erwinia persicina	55211	bacteria	4897828	ncbi	automatic
Erwinia rhapontici	55212	bacteria	5287590	ncbi	automatic
Ruegeria lacuscaerulensis	55218	bacteria	4603984	ncbi	automatic
Diospyros lotus	55363	eukaryota	623848598	ncbi	automatic
Vibrio anguillarum	55601	bacteria	4190444	ncbi	automatic
Borreliella tanukii	56146	bacteria	1012088	ncbi	automatic
Photobacterium iliopiscarium	56192	bacteria	4308695	ncbi	automatic
Hanseniaspora guilliermondii	56406	eukaryota,fungi	9089287	ncbi	automatic
Hanseniaspora occidentalis	56407	eukaryota,fungi	11413899	ncbi	automatic
Hanseniaspora vineae	56409	eukaryota,fungi	11350868	ncbi	automatic
Metschnikowia agaves	56417	eukaryota,fungi	11156641	ncbi	automatic
Couchioplanes caeruleus	56438	bacteria	8006169	ncbi	automatic
Xanthomonas arboricola	56448	bacteria	5052517	ncbi	automatic
Xanthomonas cassavae	56450	bacteria	5186032	ncbi	automatic
Xanthomonas cucurbitae	56453	bacteria	4615492	ncbi	automatic
Xanthomonas hortorum	56454	bacteria	5229297	ncbi	automatic
Xanthomonas melonis	56456	bacteria	4780699	ncbi	automatic
Xanthomonas sacchari	56458	bacteria	4898036	ncbi	automatic
Xanthomonas vasicola	56459	bacteria	4909896	ncbi	automatic
Xanthomonas vesicatoria	56460	bacteria	5166281	ncbi	automatic
Mycolicibacterium mucogenicum	56689	bacteria	6199927	ncbi	automatic
Rhizobium gallicum	56730	bacteria	7285053	ncbi	automatic
Shewanella frigidimarina	56812	bacteria	4796629	ncbi	automatic
Helicobacter bizzozeronii	56877	bacteria	1763368	ncbi	automatic
Helicobacter salomonis	56878	bacteria	1609852	ncbi	automatic
Lacticaseibacillus zeae	57037	bacteria	3078537	ncbi	automatic
Microbacterium esteraromaticum	57043	bacteria	3140023	ncbi	automatic
Deinococcus radiopugnans	57497	bacteria	4315218	ncbi	automatic
Trifolium pratense	57577	eukaryota	309013329	ncbi	automatic
Rhizobium mongolense	57676	bacteria	7295545	ncbi	automatic
Cutaneotrichosporon curvatum	57679	eukaryota,fungi	18105216	ncbi	automatic
Tsukamurella tyrosinosolvens	57704	bacteria	4922396	ncbi	automatic
Halomicrobium mukohataei	57705	archaea	3324508	ncbi	automatic
Citrobacter braakii	57706	bacteria	5100000	ncbi	manually-set
Enterococcus asini	57732	bacteria	2566717	ncbi	automatic
Borreliella turdi	57863	bacteria	1166114	ncbi	automatic
Burkholderia thailandensis	57975	bacteria	6692814	ncbi	automatic
Microbispora rosea	58117	bacteria	8530806	ncbi	automatic
Planomonospora parontospora	58119	bacteria	7911793	ncbi	automatic
Rhizopus microsporus	58291	eukaryota,fungi	27739979	ncbi	automatic
Streptomyces canus	58343	bacteria	10677318	ncbi	automatic
Streptomyces celluloflavus	58344	bacteria	8799150	ncbi	automatic
Streptomyces platensis	58346	bacteria	8591529	ncbi	automatic
Debaryomyces fabryi	58627	eukaryota,fungi	11821373	ncbi	automatic
Plodia interpunctella	58824	eukaryota	332664052	ncbi	automatic
Trichoderma citrinoviride	58853	eukaryota,fungi	32789374	ncbi	automatic
Streptomyces thermocarboxydus	59299	bacteria	7302338	ncbi	automatic
Streptococcus macedonicus	59310	bacteria	2142390	ncbi	automatic
Rhinolophus ferrumequinum	59479	eukaryota	2061944046	ncbi	automatic
Actinotignum schaalii	59505	bacteria	2175711	ncbi	automatic
Lumpy skin disease virus	59509	virus	150526	ncbi	automatic
Trueperella bernardiae	59561	bacteria	2099063	ncbi	automatic
Corynespora cassiicola	59586	eukaryota,fungi	42959463	ncbi	automatic
Arabidopsis lyrata	59689	eukaryota	183707801	ncbi	automatic
Taeniopygia guttata	59729	eukaryota	1061805988	ncbi	automatic
Chryseobacterium scophthalmum	59733	bacteria	4465757	ncbi	automatic
Rathayibacter iranicus	59737	bacteria	3381056	ncbi	automatic
Paracoccus marcusii	59779	bacteria	3936521	ncbi	automatic
Angomonas deanei	59799	eukaryota	22027726	ncbi	automatic
Mycolicibacterium novocastrense	59813	bacteria	5702270	ncbi	automatic
Pantoea dispersa	59814	bacteria	4907702	ncbi	automatic
Faba bean necrotic yellows virus	59817	virus	7954	ncbi	automatic
Tyrophagus putrescentiae	59818	eukaryota	95709288	ncbi	automatic
Paenibacillus alginolyticus	59839	bacteria	8235023	ncbi	automatic
Paenibacillus glucanolyticus	59843	bacteria	6604027	ncbi	automatic
Paenibacillus illinoisensis	59845	bacteria	6893608	ncbi	automatic
Paenibacillus peoriae	59893	bacteria	6098433	ncbi	automatic
Prevotella pallens	60133	bacteria	3080499	ncbi	automatic
Sulfitobacter pontiacus	60137	bacteria	3666479	ncbi	automatic
Penicillium polonicum	60169	eukaryota,fungi	32365395	ncbi	automatic
Penicillium verrucosum	60171	eukaryota,fungi	30280194	ncbi	automatic
Penicillium solitum	60172	eukaryota,fungi	31409870	ncbi	automatic
Penicillium nalgiovense	60175	eukaryota,fungi	31403171	ncbi	automatic
Lactiplantibacillus paraplantarum	60520	bacteria	3323419	ncbi	automatic
Paraburkholderia graminis	60548	bacteria	7460936	ncbi	automatic
Paraburkholderia phenazinium	60549	bacteria	8596552	ncbi	automatic
Burkholderia pyrrocinia	60550	bacteria	7929322	ncbi	automatic
Burkholderia vietnamiensis	60552	bacteria	7022493	ncbi	automatic
Halogeometricum borinquense	60847	archaea	3969143	ncbi	automatic
Phaeobacter gallaeciensis	60890	bacteria	4597483	ncbi	automatic
Staphylococcus succinus	61015	bacteria	2761755	ncbi	automatic
Plecoglossus altivelis	61084	eukaryota	410181102	ncbi	automatic
Pseudoalteromonas peptidolytica	61150	bacteria	5153365	ncbi	automatic
Arvicanthis niloticus	61156	eukaryota	2468150700	ncbi	automatic
Holdemania filiformis	61171	bacteria	3803745	ncbi	automatic
Fusarium equiseti	61235	eukaryota,fungi	39588047	ncbi	automatic
Maudiozyma barnettii	61262	eukaryota,fungi	12653595	ncbi	automatic
Fusarium tricinctum	61284	eukaryota,fungi	42747636	ncbi	automatic
Dehalococcoides mccartyi	61435	bacteria	1408068	ncbi	automatic
Timema cristinae	61476	eukaryota	909954280	ncbi	automatic
Corynebacterium durum	61592	bacteria	2793439	ncbi	automatic
Paenibacillus mucilaginosus	61624	bacteria	8701434	ncbi	automatic
Enterobacter asburiae	61645	bacteria	5100000	ncbi	manually-set
Lelliottia amnigena	61646	bacteria	4576522	ncbi	automatic
Pluralibacter gergoviae	61647	bacteria	5672559	ncbi	automatic
Kluyvera intermedia	61648	bacteria	5450000	ncbi	manually-set
Serratia ficaria	61651	bacteria	5261721	ncbi	automatic
Serratia rubidaea	61652	bacteria	5200000	ncbi	manually-set
Nomascus leucogenys	61853	eukaryota	2997569318	ncbi	automatic
East African cassava mosaic virus	62079	virus	2801	ncbi	automatic
Borreliella valaisiana	62088	bacteria	1281816	ncbi	automatic
Acidiphilium multivorum	62140	bacteria	4096391	ncbi	automatic
Shewanella baltica	62322	bacteria	5215375	ncbi	automatic
Anopheles funestus	62324	eukaryota	249529751	ncbi	automatic
Waitea circinata	63190	eukaryota,fungi	31793090	ncbi	automatic
Microsporum canis	63405	eukaryota,fungi	23525911	ncbi	automatic
Leptopilina boulardi	63433	eukaryota	354797574	ncbi	automatic
Leptopilina heterotoma	63436	eukaryota	485770993	ncbi	automatic
Chenopodium quinoa	63459	eukaryota	1288133209	ncbi	automatic
Trichoderma atroviride	63577	eukaryota,fungi	36356548	ncbi	automatic
Bacillus pseudomycoides	64104	bacteria	5663748	ncbi	automatic
Podarcis muralis	64176	eukaryota	1515272074	ncbi	automatic
Cyclaneusma minus	64355	eukaryota,fungi	38494939	ncbi	automatic
Dothistroma septosporum	64363	eukaryota,fungi	30284678	ncbi	automatic
Callosobruchus maculatus	64391	eukaryota	1115096480	ncbi	automatic
Rhizopus arrhizus	64495	eukaryota,fungi	42841631	ncbi	automatic
Mortierella alpina	64518	eukaryota,fungi	37199314	ncbi	automatic
Tetragenococcus muriaticus	64642	bacteria	2090996	ncbi	automatic
Tremella fuciformis	64657	eukaryota,fungi	28046674	ncbi	automatic
Lyophyllum decastes	64660	eukaryota,fungi	41419442	ncbi	automatic
Borreliella bissettiae	64897	bacteria	1250260	ncbi	automatic
Corynebacterium ulcerans	65058	bacteria	2509428	ncbi	automatic
Albugo candida	65357	eukaryota	33184526	ncbi	automatic
Oryza barthii	65489	eukaryota	292560727	ncbi	automatic
Nonomuraea dietziae	65515	bacteria	10058845	ncbi	automatic
Hydrogenophaga taeniospiralis	65656	bacteria	5285561	ncbi	automatic
Erwinia tracheiphila	65700	bacteria	4978853	ncbi	automatic
Hydrogenophaga intermedia	65786	bacteria	5125091	ncbi	automatic
Komagataeibacter oboediens	65958	bacteria	3732509	ncbi	automatic
Acetobacter pomorum	65959	bacteria	3044698	ncbi	automatic
Lachnoclostridium phytofermentans	66219	bacteria	4711589	ncbi	automatic
Gleimia europaea	66228	bacteria	2050316	ncbi	automatic
Komagataeibacter intermedius	66229	bacteria	3881203	ncbi	automatic
Pantoea stewartii	66269	bacteria	4793911	ncbi	automatic
Streptomyces nojiriensis	66374	bacteria	9022916	ncbi	automatic
